No.,Channel Name,Receive Frequency,Transmit Frequency,Channel Type,Transmit Power,Band Width,CTCSS/DCS Decode,CTCSS/DCS Encode,Contact,Contact Call Type,Contact TG/DMR ID,Radio ID,Busy Lock/TX Permit,Squelch Mode,Optional Signal,DTMF ID,2Tone ID,5Tone ID,PTT ID,Color Code,Slot,Scan List,Receive Group List,PTT Prohibit,Reverse,Simplex TDMA,Slot Suit,AES Digital Encryption,Digital Encryption,Call Confirmation,Talk Around(Simplex),Work Alone,Custom CTCSS,2TONE Decode,Ranging,Through Mode,APRS RX,Analog APRS PTT Mode,Digital APRS PTT Mode,APRS Report Type,Digital APRS Report Channel,Correct Frequency[Hz],SMS Confirmation,Exclude channel from roaming,DMR MODE,DataACK Disable,R5toneBot,R5ToneEot
106,Utah TAC,434,434,D-Digital,Low,12.5K,Off,Off,Utah TAC,Group Call,31499,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,On,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
107,Arizona,434,434,D-Digital,Low,12.5K,Off,Off,Arizona,Group Call,3104,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,On,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
108,Colorado,434,434,D-Digital,Low,12.5K,Off,Off,Colorado,Group Call,3108,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,On,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
109,Nevada,434,434,D-Digital,Low,12.5K,Off,Off,Nevada,Group Call,3132,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,On,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
110,Idaho,434,434,D-Digital,Low,12.5K,Off,Off,Idaho,Group Call,3116,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,On,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
111,Mountain,434,434,D-Digital,Low,12.5K,Off,Off,Mountain,Group Call,3177,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,On,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
112,USA - Area 7,434,434,D-Digital,Low,12.5K,Off,Off,USA - Area 7,Group Call,31607,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,On,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
113,TAC-310 NO CALL,434,434,D-Digital,Low,12.5K,Off,Off,TAC 310 NO CALL,Group Call,310,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,On,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
114,USA Nationwide,434,434,D-Digital,Low,12.5K,Off,Off,USA Nationwide,Group Call,3100,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,On,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
115,North America,434,434,D-Digital,Low,12.5K,Off,Off,North America,Group Call,93,DMR-UTAH,Different Color Code,Carrier,Off,1,1,1,Off,1,2,None,HS Telemetry,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,On,Off,Off,Off,Digital,1,0,Off,0,0,0,0,0
