"No.","Zone Name","Zone Channel Member","Zone Channel Member RX Frequency","Zone Channel Member TX Frequency","A Channel","A Channel RX Frequency","A Channel TX Frequency","B Channel","B Channel RX Frequency","B Channel TX Frequency"
"11","Logan","Local|Utah|76ers|Northern Utah|Davis County|Utah TAC|Arizona|Colorado|Nevada|Idaho|Mountain|USA - Area 7|TAC-310 NO CALL|USA Nationwide|North America|Worldwide|Europe|Pacific Rim|English|Spanish|Canada Wide|UK Wide|Aus National|DMR Campfire|Open 1|Open 2|Open 3|Open 4|Open 5|Open 6|Open 7|Radio Test|Parrot|Disconnect","447.00000|447.00000|447.00000|447.00000|447.00000|447.00000|447.00000|447.00000|447.00000|447.00000|447.00000|447.00000|447.00000|447.00000|447.00000|447.00000|447.00000|447.00000|447.00000|447.00000|447.00000|447.00000|447.00000|447.00000|447.00000|447.00000|447.00000|447.00000|447.00000|447.00000|447.00000|447.00000|447.00000|447.00000","442.00000|442.00000|442.00000|442.00000|442.00000|442.00000|442.00000|442.00000|442.00000|442.00000|442.00000|442.00000|442.00000|442.00000|442.00000|442.00000|442.00000|442.00000|442.00000|442.00000|442.00000|442.00000|442.00000|442.00000|442.00000|442.00000|442.00000|442.00000|442.00000|442.00000|442.00000|442.00000|442.00000|442.00000","Utah","447.00000","442.00000","Local","447.00000","442.00000"
"12","Mesa","Local|Utah|76ers|Northern Utah|Davis County|Utah TAC|Arizona|Colorado|Nevada|Idaho|Mountain|USA - Area 7|TAC-310 NO CALL|USA Nationwide|North America|Worldwide|Europe|Pacific Rim|English|Spanish|Canada Wide|UK Wide|Aus National|DMR Campfire|Open 1|Open 2|Open 3|Open 4|Open 5|Open 6|Open 7|Radio Test|Parrot|Disconnect","446.35000|446.35000|446.35000|446.35000|446.35000|446.35000|446.35000|446.35000|446.35000|446.35000|446.35000|446.35000|446.35000|446.35000|446.35000|446.35000|446.35000|446.35000|446.35000|446.35000|446.35000|446.35000|446.35000|446.35000|446.35000|446.35000|446.35000|446.35000|446.35000|446.35000|446.35000|446.35000|446.35000|446.35000","441.35000|441.35000|441.35000|441.35000|441.35000|441.35000|441.35000|441.35000|441.35000|441.35000|441.35000|441.35000|441.35000|441.35000|441.35000|441.35000|441.35000|441.35000|441.35000|441.35000|441.35000|441.35000|441.35000|441.35000|441.35000|441.35000|441.35000|441.35000|441.35000|441.35000|441.35000|441.35000|441.35000|441.35000","Utah","446.35000","441.35000","Local","446.35000","441.35000"
"13","North Park","Local|Utah|76ers|Northern Utah|Davis County|Utah TAC|Arizona|Colorado|Nevada|Idaho|Mountain|USA - Area 7|TAC-310 NO CALL|USA Nationwide|North America|Worldwide|Europe|Pacific Rim|English|Spanish|Canada Wide|UK Wide|Aus National|DMR Campfire|Open 1|Open 2|Open 3|Open 4|Open 5|Open 6|Open 7|Radio Test|Parrot|Disconnect","447.37500|447.37500|447.37500|447.37500|447.37500|447.37500|447.37500|447.37500|447.37500|447.37500|447.37500|447.37500|447.37500|447.37500|447.37500|447.37500|447.37500|447.37500|447.37500|447.37500|447.37500|447.37500|447.37500|447.37500|447.37500|447.37500|447.37500|447.37500|447.37500|447.37500|447.37500|447.37500|447.37500|447.37500","442.37500|442.37500|442.37500|442.37500|442.37500|442.37500|442.37500|442.37500|442.37500|442.37500|442.37500|442.37500|442.37500|442.37500|442.37500|442.37500|442.37500|442.37500|442.37500|442.37500|442.37500|442.37500|442.37500|442.37500|442.37500|442.37500|442.37500|442.37500|442.37500|442.37500|442.37500|442.37500|442.37500|442.37500","Utah","447.37500","442.37500","Local","447.37500","442.37500"
"14","Riverside","Local|Utah|76ers|Northern Utah|Davis County|Utah TAC|Arizona|Colorado|Nevada|Idaho|Mountain|USA - Area 7|TAC-310 NO CALL|USA Nationwide|North America|Worldwide|Europe|Pacific Rim|English|Spanish|Canada Wide|UK Wide|Aus National|DMR Campfire|Open 1|Open 2|Open 3|Open 4|Open 5|Open 6|Open 7|Radio Test|Parrot|Disconnect","447.12500|447.12500|447.12500|447.12500|447.12500|447.12500|447.12500|447.12500|447.12500|447.12500|447.12500|447.12500|447.12500|447.12500|447.12500|447.12500|447.12500|447.12500|447.12500|447.12500|447.12500|447.12500|447.12500|447.12500|447.12500|447.12500|447.12500|447.12500|447.12500|447.12500|447.12500|447.12500|447.12500|447.12500","442.12500|442.12500|442.12500|442.12500|442.12500|442.12500|442.12500|442.12500|442.12500|442.12500|442.12500|442.12500|442.12500|442.12500|442.12500|442.12500|442.12500|442.12500|442.12500|442.12500|442.12500|442.12500|442.12500|442.12500|442.12500|442.12500|442.12500|442.12500|442.12500|442.12500|442.12500|442.12500|442.12500|442.12500","Utah","447.12500","442.12500","Local","447.12500","442.12500"
"15","Rocky Point","Local|Utah|76ers|Northern Utah|Davis County|Utah TAC|Arizona|Colorado|Nevada|Idaho|Mountain|USA - Area 7|TAC-310 NO CALL|USA Nationwide|North America|Worldwide|Europe|Pacific Rim|English|Spanish|Canada Wide|UK Wide|Aus National|DMR Campfire|Open 1|Open 2|Open 3|Open 4|Open 5|Open 6|Open 7|Radio Test|Parrot|Disconnect","447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000|447.35000","442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000|442.35000","Utah","447.35000","442.35000","Local","447.35000","442.35000"
"16","Salt Lake","Local|Utah|76ers|Northern Utah|Davis County|Utah TAC|Arizona|Colorado|Nevada|Idaho|Mountain|USA - Area 7|TAC-310 NO CALL|USA Nationwide|North America|Worldwide|Europe|Pacific Rim|English|Spanish|Canada Wide|UK Wide|Aus National|DMR Campfire|Open 1|Open 2|Open 3|Open 4|Open 5|Open 6|Open 7|Radio Test|Parrot|Disconnect","447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750|447.93750","442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750|442.93750","Utah","447.93750","442.93750","Local","447.93750","442.93750"
"17","Woodland Hills","Local|Utah|76ers|Northern Utah|Davis County|Utah TAC|Arizona|Colorado|Nevada|Idaho|Mountain|USA - Area 7|TAC-310 NO CALL|USA Nationwide|North America|Worldwide|Europe|Pacific Rim|English|Spanish|Canada Wide|UK Wide|Aus National|DMR Campfire|Open 1|Open 2|Open 3|Open 4|Open 5|Open 6|Open 7|Radio Test|Parrot|Disconnect","449.80000|449.80000|449.80000|449.80000|449.80000|449.80000|449.80000|449.80000|449.80000|449.80000|449.80000|449.80000|449.80000|449.80000|449.80000|449.80000|449.80000|449.80000|449.80000|449.80000|449.80000|449.80000|449.80000|449.80000|449.80000|449.80000|449.80000|449.80000|449.80000|449.80000|449.80000|449.80000|449.80000|449.80000","444.80000|444.80000|444.80000|444.80000|444.80000|444.80000|444.80000|444.80000|444.80000|444.80000|444.80000|444.80000|444.80000|444.80000|444.80000|444.80000|444.80000|444.80000|444.80000|444.80000|444.80000|444.80000|444.80000|444.80000|444.80000|444.80000|444.80000|444.80000|444.80000|444.80000|444.80000|444.80000|444.80000|444.80000","Utah","449.80000","444.80000","Local","449.80000","444.80000"
"18","WS St. George","Local|Cactus|Mountain West|WW|WW Eng|SW|Calif|Cal TAC|Nevada|SNARS|Las Vegas|Mountain|TAC-310 NO CALL|Open 1|Open 2|Open 3|Open 4|Open 5|Open 6|Open 7|Disconnect","449.42500|449.42500|449.42500|449.42500|449.42500|449.42500|449.42500|449.42500|449.42500|449.42500|449.42500|449.42500|449.42500|449.42500|449.42500|449.42500|449.42500|449.42500|449.42500|449.42500|449.42500","444.42500|444.42500|444.42500|444.42500|444.42500|444.42500|444.42500|444.42500|444.42500|444.42500|444.42500|444.42500|444.42500|444.42500|444.42500|444.42500|444.42500|444.42500|444.42500|444.42500|444.42500","Cactus","449.42500","444.42500","Local","449.42500","444.42500"
"19","WS LasVeg POTOSI","Local|Cactus|Mountain West|WW|WW Eng|SW|Calif|Cal TAC|Nevada|SNARS|Las Vegas|Mountain|TAC-310 NO CALL|Open 1|Open 2|Open 3|Open 4|Open 5|Open 6|Open 7|Disconnect","448.27500|448.27500|448.27500|448.27500|448.27500|448.27500|448.27500|448.27500|448.27500|448.27500|448.27500|448.27500|448.27500|448.27500|448.27500|448.27500|448.27500|448.27500|448.27500|448.27500|448.27500","443.27500|443.27500|443.27500|443.27500|443.27500|443.27500|443.27500|443.27500|443.27500|443.27500|443.27500|443.27500|443.27500|443.27500|443.27500|443.27500|443.27500|443.27500|443.27500|443.27500|443.27500","Cactus","448.27500","443.27500","Local","448.27500","443.27500"
"20","WS LasVeg ANGELS","Local|Cactus|Mountain West|WW|WW Eng|SW|Calif|Cal TAC|Nevada|SNARS|Las Vegas|Mountain|TAC-310 NO CALL|Open 1|Open 2|Open 3|Open 4|Open 5|Open 6|Open 7|Disconnect","448.92500|448.92500|448.92500|448.92500|448.92500|448.92500|448.92500|448.92500|448.92500|448.92500|448.92500|448.92500|448.92500|448.92500|448.92500|448.92500|448.92500|448.92500|448.92500|448.92500|448.92500","443.92500|443.92500|443.92500|443.92500|443.92500|443.92500|443.92500|443.92500|443.92500|443.92500|443.92500|443.92500|443.92500|443.92500|443.92500|443.92500|443.92500|443.92500|443.92500|443.92500|443.92500","Cactus","448.92500","443.92500","Local","448.92500","443.92500"
"50","Open (edit me)","Open 1|Open 2|Open 3|Open 4","447.05000|447.05000|447.05000|447.05000","442.05000|442.05000|442.05000|442.05000","Open 2","447.05000","442.05000","Open 1","447.05000","442.05000"
"100","VHF Simplex","Simplex 145.31|Simplex 145.51|Simplex 145.53|Simplex 145.55|Simplex 145.57|Simplex 145.59|Simplex 145.61|Simplex 145.63|Simplex 145.65|Simplex 145.67|Simplex 145.69|Simplex 145.71|Simplex 145.73|Simplex 145.75|Simplex 145.77|Simplex 145.79|Simplex 146.42|Simplex 146.44|Simplex 146.46|Simplex 146.48|Simplex 146.5|Simplex 146.52|Simplex 146.54|Simplex 146.56|Simplex 146.58|Simplex 146.6|Simplex 147.4|Simplex 147.42|Simplex 147.44|Simplex 147.45|Simplex 147.46|Simplex 147.48|Simplex 147.5|Simplex 147.52|Simplex 147.54|Simplex 147.56|Simplex 147.58|Simplex 147.6","145.31000|145.51000|145.53000|145.55000|145.57000|145.59000|145.61000|145.63000|145.65000|145.67000|145.69000|145.71000|145.73000|145.75000|145.77000|145.79000|146.42000|146.44000|146.46000|146.48000|146.50000|146.52000|146.54000|146.56000|146.58000|146.60000|147.40000|147.42000|147.44000|147.45000|147.46000|147.48000|147.50000|147.52000|147.54000|147.56000|147.58000|147.60000","145.31000|145.51000|145.53000|145.55000|145.57000|145.59000|145.61000|145.63000|145.65000|145.67000|145.69000|145.71000|145.73000|145.75000|145.77000|145.79000|146.42000|146.44000|146.46000|146.48000|146.50000|146.52000|146.54000|146.56000|146.58000|146.60000|147.40000|147.42000|147.44000|147.45000|147.46000|147.48000|147.50000|147.52000|147.54000|147.56000|147.58000|147.60000","Simplex 146.52","146.52000","146.52000","Simplex 146.52","146.52000","146.52000"
